street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
163C MARINE PARADE,NEW BRIGHTON,CHRISTCHURCH,8083,Townhouse,3,2,1,,1,164,120,2023,650,30/04/2025,8,Fraser Flynn Property Management,600000,260000,340000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,Fully Furnished,,,YES,-43.5019761,172.7282785
4/6 SKIBBEREEN DRIVE,HALSWELL,CHRISTCHURCH,8025,Townhouse,3,3,1,,1,123,120,2023,650,19/05/2025,7,-,720000,320000,400000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-OYO-2020/2029-average,nill,,,YES,-43.5813458,172.5512446
2/15A BENNETT STREET,ST ALBANS,CHRISTCHURCH,8052,Unit,3,2,1,,1,,120,1970,650,19/05/2025,16,Grenadier Rent Shop Ltd,650000,510000,190000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5042402,172.6156541
39B OAKLEY CRESCENT,HORNBY,CHRISTCHURCH,8042,Unit,3,1,1,,1,,120,1970,650,30/05/2025,7,Iron Bridge Property Management - Christchurch,560000,160000,400000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5556907,172.5326032
1/14 POULSON STREET,ADDINGTON,CHRISTCHURCH,8024,House,3,2,1,,1,212,120,2024,650,5/06/2025,9,B&N Properties Ltd,680000,200000,480000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5437491,172.619998
1/182 IDRIS ROAD,STROWAN,CHRISTCHURCH,8052,House,3,2,,1,1,,120,1950,650,4/07/2025,10,First National Lethbridge,690000,375000,315000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1950's-average,nill,,,NO,-43.5058846,172.6032249
5 BEACH ROAD,NORTH NEW BRIGHTON,CHRISTCHURCH,8083,House,3,1,,2,2,521,120,1970,650,26/07/2025,7,-,590000,275000,315000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.4863739,172.7228023
74 Rosewarne Street,Spreydon,Christchurch City,8024,townhouse,3,2,1,,1,300,120,2022,650,6/08/2025,49,Brooksfield Property Management,700000,283236.9942,416763.0058,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,,,Pets OK,Yes,-43.5489039,172.6213791
74 ROSEWARNE STREET,SPREYDON,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,96,120,2022,650,14/08/2025,34,Brooksfield Property Management,700000,210000,490000,1/08/2022,Single Unit excluding Bach,Commercial Zone D,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,nill,,,YES,-43.5489039,172.6213791
3/182 Hoon Hay Road,Hoon Hay,Christchurch City,2025,Townhouse,3,1,1,1,1,218,120,2025,650,2/09/2025,22,myRent.co.nz Ltd,620000,200000,420000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,Pets OK,Yes,-43.5650664,172.6088124
8/45 Chester Street West,City Centre,Christchurch City,8013,townhouse,3,2,,2,3,166.5,120,1990,650,11/09/2025,13,"Progressive First National - Progressive Realty Ltd MREINZ, (Licensed: REAA 2008)",1110000,479467.4556,630532.5444,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1990's-average,partial,dryer;fridge;fridge/freezer;washing machine,Pets OK,No,-43.5275424,172.6325715
25 Grampian Street,Casebrook,Christchurch City,8051,House,3,1,,3,2,862,120,1960,650,11/09/2025,13,Harcourts Gold Property Management,770000,430000,340000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1960's-average,,,Pets OK,No,-43.4798184,172.603157
10/6 SKIBBEREEN DRIVE,HALSWELL,CHRISTCHURCH,8025,Townhouse,3,3,1,,1,139,121,2023,650,25/02/2025,36,Pukeko Rental Managers - Christchurch South,720000,320000,400000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,nill,,,YES,-43.5813458,172.5512446
8 YARDLEY STREET,AVONHEAD,CHRISTCHURCH,8042,House,3,1,,2,2,809,121,1960,650,13/03/2025,7,Harcourts Asset Managers,780000,580000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.5204174,172.5455444
11/6 SKIBBEREEN DRIVE,HALSWELL,CHRISTCHURCH,8025,Townhouse,3,3,1,,1,127,121,2023,650,28/04/2025,7,Quinovic Riccarton,720000,320000,400000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,nill,,,YES,-43.5813458,172.5512446
2/42 SAILS STREET,PAPANUI,CHRISTCHURCH,8053,Townhouse,3,3,1,,1,153,121,2023,650,3/08/2025,239,Grenadier Rent Shop Limited,740000,210000,530000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,washing machine,,YES,-43.4922435,172.6033942
4/27 EVESHAM CRESCENT,SPREYDON,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,156,122,2025,650,23/03/2025,8,Opes Property Management South Limited,735000,240000,495000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5534962,172.6084872
33 SYLVIA STREET,PARKLANDS,CHRISTCHURCH,8083,House,3,1,,2,2,435,122,1990,650,15/04/2025,15,Iron Bridge Chch 01,630000,275000,355000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1990's-average,nill,,,NO,-43.4848208,172.7112477
275 MEMORIAL AVENUE,BURNSIDE,CHRISTCHURCH,8053,House,3,1,,1,1,342,122,1990,650,21/04/2025,36,Harcourts Gold,750000,380000,370000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1990's-average,Fully Furnished,,,NO,-43.5045688,172.5675496
2 YEW TREE LANE,HILLMORTON,CHRISTCHURCH,8024,Townhouse,3,1,2,,2,195,122,2000,650,4/05/2025,52,Iron Bridge Chch 01,720000,265000,455000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2000/2009-average,nill,,,YES,-43.5507069,172.592168
32 HOUNSLOW STREET,ILAM,CHRISTCHURCH,8041,House,3,1,,2,2,809,122,1960,650,29/06/2025,3,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",710000,570000,140000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.5144736,172.5679789
127 MAIDSTONE ROAD,ILAM,CHRISTCHURCH,8041,House,3,1,,3,3,809,122,1960,650,8/07/2025,358,Orbit Property Management Ltd,750000,580000,170000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1960's-average,nill,,,NO,-43.5169644,172.5661929
