street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
109A PEVEREL STREET,RICCARTON,CHRISTCHURCH,8041,,5,2,1,,1,689,112,1990,750,27/02/2025,42,The Rent Shop Christchurch Limited,1080000,465000,615000,1/08/2022,Multi-unit,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-Purpose built flat-1990's-average,partial,dryer;fridge;washing machine,,YES,-43.5339668,172.5920579
47 GRESFORD STREET,EDGEWARE,CHRISTCHURCH,8013,House,5,2,,1,1,372,122,1910,750,23/01/2025,64,Rempstone Property Management,590000,390000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1914/1929-average,nill,,,NO,-43.5166013,172.6508606
2/17 HAYNES AVENUE,UPPER RICCARTON,CHRISTCHURCH,8041,House,5,1,,,,,124,1950,750,31/07/2025,7,Bayleys Property Management Ltd,530000,295000,235000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Tile Profile,Fibre Cement,Residential-Dwelling-1950's-average,nill,,,NO,-43.5335643,172.5727322
1/17 HAYNES AVENUE,UPPER RICCARTON,CHRISTCHURCH,8041,House,5,1,,,,,125,1950,750,31/07/2025,7,Bayleys Property Management Ltd,510000,280000,230000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Fibre Cement,Residential-Dwelling-1950's-average,,,,NO,-43.5335643,172.5727322
421 PAPANUI ROAD,STROWAN,CHRISTCHURCH,8052,House,5,1,,3,3,622,168,1930,750,27/04/2025,106,Vision Property Management,1090000,920000,170000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,nill,,,NO,-43.5019424,172.6121586
113 Roker Street,Somerfield,Christchurch City,8024,House,5,1,1,2,2,685,185,1920,750,19/09/2025,5,Harcourts Vision Property Management Ltd,740000,540000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-average,,,,Yes,-43.5537424,172.6295603
5 RUSSLEY ROAD,RUSSLEY,CHRISTCHURCH,8042,House,5,2,2,,2,763,190,1950,750,20/05/2025,56,Harcourts Vision Property Management Ltd,670000,320000,350000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1950's-superior,nill,,,YES,-43.5196991,172.5342199
692 AVONSIDE DRIVE,AVONSIDE,CHRISTCHURCH,8061,House,5,2,2,,2,597,205,2000,750,13/08/2025,28,Iron Bridge Chch 01,750000,315000,435000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2000/2009-average,nill,,,YES,-43.5216293,172.675359
3 BEZAR GREEN,AIDANFIELD,CHRISTCHURCH,8025,House,5,2,2,,2,762,211,2000,750,11/08/2025,47,Grenadier Rent Shop Ltd,890000,470000,420000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2000/2009-average,nill,,No,YES,-43.5650403,172.5699833
54 MEDWAY STREET,RICHMOND,CHRISTCHURCH,8013,House,5,2,2,,2,,220,1990,750,13/05/2025,7,The Property Boss Limited,670000,250000,420000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1990's-average,partial,double beds,Pets OK,YES,-43.5150995,172.6634064
5 JOHN MOREL PLACE,PARKLANDS,CHRISTCHURCH,8083,House,5,1,2,,2,890,,2000,750,17/01/2025,7,"Glass Miles Ltd, (Licensed: Reaa 2008)",950000,465000,485000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2000/2009-average,nill,,,YES,-43.4740243,172.676111
40 PEER STREET,UPPER RICCARTON,CHRISTCHURCH,8041,,6,2,,,,941,,1950,750,4/09/2025,6,"Braziers Limited, (Licensed: Reaa 2008)",1340000,840000,500000,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Mix.Material,Mix.Material,Residential-Multiple Dwellings-Mixed Age-average,nill,,No,NO,-43.5275201,172.5703289
50 GARDEN ROAD,MERIVALE,CHRISTCHURCH,8014,,2,1,,,,137,80,,755,29/08/2025,64,Perfect Stays,690000,690000,0,1/08/2022,Vacant Residential,Residential Suburban,Inside,No appreciable view,,,Residential-Vacant Site,Fully Furnished,,,NO,-43.5177829,172.6108866
50a Garden Road,Merivale,Christchurch City,8014,townhouse,2,1,1,1,,126.5425532,110.8445946,,755,8/07/2025,78,Perfect Stays,730000,412055.7491,317944.2509,1/08/2022,Vacant Residential,Residential Suburban,Inside,No appreciable view,,,Residential-Vacant Site,Fully Furnished,,Pets OK,Yes,-43.5189199,172.6115271
10 Beechwood Drive,Northwood,Christchurch City,8051,House,4,2,2,,2,600,198,2005,755,23/07/2025,63,"Najib Real Estate Ltd, (Licensed: REAA 2008)",830000,560000,270000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-2000/2009-average,,,,Yes,-43.4612968,172.6188803
10 BEECHWOOD DRIVE,NORTHWOOD,CHRISTCHURCH,8051,House,4,2,2,,2,600,198,2005,755,27/08/2025,84,"Najib Real Estate Ltd, (Licensed: Reaa 2008)",830000,560000,270000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-2000/2009-average,nill,,,YES,-43.4612968,172.6188803
170 CONDELL AVENUE,PAPANUI,CHRISTCHURCH,8053,House,3,1,,1,1,870,110,1950,760,26/06/2025,2,Holmwood Property Management St Albans,710000,570000,140000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1950's-average,nill,unfurnished,Pets OK,NO,-43.497861,172.5962334
2/3 LYNFIELD AVENUE,ILAM,CHRISTCHURCH,8041,House,3,1,2,,2,,130,1980,760,24/07/2025,2,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",630000,385000,245000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1980's-average,nill,,,YES,-43.5173582,172.5709268
5 WOODFORD TERRACE,ILAM,CHRISTCHURCH,8053,House,3,1,,2,2,842,130,1950,760,22/08/2025,20,Rentworks Property Management 2018 Ltd,1000000,900000,100000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.5138815,172.5880813
1/33 Elizabeth Street,Riccarton,Christchurch City,8041,House,3,2,2,,2,168,135,2016,760,8/09/2025,16,Orbit Property Management,820000,305000,515000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,nill,unfurnished,,No,-43.535577,172.6016198
91 KAIWARA STREET,HOON HAY,CHRISTCHURCH,8025,House,3,1,,1,1,1191,140,1960,760,22/05/2025,30,Holmwood Property Management,710000,435000,275000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1960's-average,nill,,Pets OK,NO,-43.5699555,172.607798
14 GLENSIDE AVENUE,ILAM,CHRISTCHURCH,8041,House,3,1,,2,2,711,140,1970,760,12/08/2025,302,Orbit Property Management,820000,630000,190000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1970's-average,nill,,Pets OK,NO,-43.5195135,172.5657464
124C TENNYSON STREET,SYDENHAM,CHRISTCHURCH,8023,House,3,2,2,,2,466,,1990,760,14/03/2025,7,Iron Bridge Property Management - Christchurch,990000,360000,630000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-1990's-average,partial,fridge,Pets OK,YES,-43.5588002,172.6451689
1/65 BRODIE STREET,ILAM,CHRISTCHURCH,8041,,3,3,2,,2,824,,,760,21/07/2025,7,"Progressive First National - Progressive Realty Ltd Mreinz, (Licensed: Reaa 2008)",,,275000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Aluminium,Weatherboard,Residential-Dwelling-1950's-average,,,,YES,-43.5251324,172.5683367
25A AUBURN AVENUE,UPPER RICCARTON,CHRISTCHURCH,8041,House,4,1,1,,1,,103,1950,760,21/07/2025,267,A1 Property Managers Ltd,550000,325000,225000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,,YES,-43.5331775,172.5768562
5 Woodford Terrace,Ilam,Christchurch City,8053,House,4,1,,4,2,842,130,1950,760,22/08/2025,33,RentWorks Property Management 2018 Ltd,1000000,900000,100000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,partial,washing machine,,No,-43.5138815,172.5880813
20 Talltree Avenue,Avonhead,Christchurch City,8042,House,4,1,2,2,2,632,133,1970,760,23/09/2025,1,"Whittle Knight Real Estate Ltd, (Licensed: REAA 2008)",710000,560000,150000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,,,,Yes,-43.5199339,172.5486033
20 GLADSON AVENUE,SOCKBURN,CHRISTCHURCH,8042,House,4,1,,2,2,706,140,1960,760,12/03/2025,26,Prestige Property Management Limited,650000,460000,190000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1960's-average,nill,,Pets OK,NO,-43.5323094,172.5590881
14 Glenside Avenue,Ilam,Christchurch City,8041,House,4,1,1,2,2,711,140,1970,760,12/08/2025,43,Orbit Property Management,820000,630000,190000,1/08/2022,Single Unit excluding Bach,Residential - Mixed Housing Urban Zone,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1970's-average,nill,unfurnished,Pets OK,No,-43.5195135,172.5657464
20 SONGPA STREET,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,459,157,2024,760,13/06/2025,2,Harcourts Asset Managers,830000,400000,430000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5960547,172.5694154
32 GLOVERS ROAD,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,491,162,2024,760,22/05/2025,11,Harcourts Gold Property Management,850000,400000,450000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5935427,172.5688913
18 PITCAITHLY STREET,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,584,167,2025,760,3/03/2025,8,Harcourts Asset Managers,900000,430000,470000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5944141,172.5674231
57 TONGARIRO STREET,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,494,173,2017,760,20/08/2025,21,-,900000,410000,490000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,nill,,Pets OK,YES,-43.5712173,172.5352833
8 Ellesmere Street,Marshland,Christchurch City,8083,House,4,2,2,3,2,500,175,2017,760,11/09/2025,13,myRent.co.nz Ltd,900000,430000,470000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2010/2019-average,nill,unfurnished,,Yes,-43.4779443,172.6684639
8 HELEN PLACE,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,410,176,2023,760,3/04/2025,22,Bayleys Property Management Ltd,910000,400000,510000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2020/2029-average,nill,,Pets OK,YES,-43.5743718,172.5798153
47b Dow Square,Wigram,Christchurch City,8025,House,4,2,1,,1,435,186,2017,760,1/09/2025,23,"Najib Real Estate Ltd, (Licensed: REAA 2008)",910000,415000,495000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,Focal Point Of view - Other,Steel/G-Iron,Weatherboard,Residential-Dwelling-2010/2019-average,,,,No,-43.5583695,172.5495529
11 ANNABY DRIVE,NORTHWOOD,CHRISTCHURCH,8051,House,4,2,2,,2,720,196,2000,760,11/07/2025,2,Iron Bridge Property Management - Christchurch,820000,520000,300000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-2000/2009-average,nill,,Pets OK,YES,-43.4587497,172.6116872
5 JOSEPHINE CRESCENT,AIDANFIELD,CHRISTCHURCH,8025,House,4,2,2,,2,545,198,2013,760,4/02/2025,22,Harcourts Holmwood Property Management - Sherborne,890000,430000,460000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.5646525,172.5748101
24a Rutherglen Avenue,Ilam,Christchurch City,8041,House,4,2,2,,2,870,210,1970,760,12/09/2025,12,RentWorks Property Management 2018 Ltd,960000,630000,330000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,,,,No,-43.5198211,172.5692205
59 LAING CRESCENT,HEATHCOTE VALLEY,CHRISTCHURCH,8022,House,4,1,2,,2,743,,1990,760,7/02/2025,7,-,820000,490000,330000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1990's-average,nill,,,YES,-43.5721366,172.6996992
55 SPRINGWATER AVENUE,NORTHWOOD,CHRISTCHURCH,8051,House,4,2,2,,2,726,,2000,760,1/03/2025,23,-,860000,570000,290000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2000/2009-average,nill,,No,YES,-43.4562215,172.6116564
16 THE RUNWAY,WIGRAM,CHRISTCHURCH,8042,House,4,2,2,,2,623,,2013,760,11/03/2025,15,Iron Bridge Chch 01,980000,520000,460000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.5563991,172.5493717
5 RED CHECKERS PLACE,WIGRAM,CHRISTCHURCH,8042,House,4,2,2,,2,757,,2000,760,21/03/2025,7,Vision Realty Management Ltd,920000,405000,515000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2000/2009-average,nill,,,YES,-43.547967,172.5467059
68A TRAFFORD STREET,HAREWOOD,CHRISTCHURCH,8051,House,4,1,2,,2,847,,2000,760,20/05/2025,20,Holmwood Property Management,960000,420000,540000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-2000/2009-superior,nill,,,YES,-43.487393,172.5730532
29 PAPAUMU GREEN,PARKLANDS,CHRISTCHURCH,8083,House,4,2,2,,2,657,,2000,760,5/06/2025,2,Prestige Property Management Limited,1030000,440000,590000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2000/2009-average,nill,,,YES,-43.4762402,172.6833626
4/88 OFFICE ROAD,MERIVALE,CHRISTCHURCH,8014,,4,1,2,,2,,,1970,760,11/07/2025,72,Vision Property Management,1060000,870000,190000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Brick,Residential-OYO-1970's-average,nill,,,YES,-43.5142861,172.6185516
1/88 OFFICE ROAD,MERIVALE,CHRISTCHURCH,8014,,5,4,,1,1,1012,390,1975,760,12/07/2025,7,Harcourts Vision Property Management Ltd,,,205000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5142861,172.6185516
261D EDGEWARE ROAD,EDGEWARE,CHRISTCHURCH,8013,Townhouse,3,3,1,,1,148,128,2022,765,26/01/2025,66,-,770000,250000,520000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dining table;dryer;fridge;washer,,YES,-43.5128947,172.6509783
28B MAYFAIR STREET,RICCARTON,CHRISTCHURCH,8011,Unit,3,2,2,,2,229,150,1990,765,28/07/2025,7,Myrent.Co.NZ Ltd,940000,390000,550000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-1990's-average,nill,,,YES,-43.5352202,172.6100713
30 KATRINE DRIVE,MARSHLAND,CHRISTCHURCH,8083,House,3,2,2,,2,452,151,2018,765,24/02/2025,7,Fraser Flynn Property Management,810000,420000,390000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,Mix.Material,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.4774925,172.672422
15 GISELE CRESCENT,HALSWELL,CHRISTCHURCH,8025,House,3,2,2,,2,509,,2023,765,15/05/2025,31,Grenadier Rent Shop Ltd,830000,430000,400000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Corner,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5729322,172.585566
541E MANCHESTER STREET,ST ALBANS,CHRISTCHURCH,8014,,4,3,2,,2,456,185,2000,765,6/03/2025,31,Priority Property Management Ltd,890000,475000,415000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-OYO-2000/2009-average,nill,,,YES,-43.5151778,172.6388816
20 GISELE CRESCENT,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,500,185,2022,765,11/06/2025,7,Myrent.Co.NZ Ltd,900000,450000,450000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5726969,172.5860366
1/899 FERRY ROAD,WOOLSTON,CHRISTCHURCH,8023,Townhouse,2,2,2,,2,408,,2024,770,25/05/2025,7,Fraser Flynn Property Management,740000,250000,490000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,,YES,-43.5548393,172.6938656
1/25 TENSING PLACE,SOCKBURN,CHRISTCHURCH,8042,House,3,1,,,,,90,1950,770,12/08/2025,29,Myrent.Co.NZ Ltd,475000,255000,220000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,nill,,,NO,-43.5378907,172.5656566
16 MCLELLAN PLACE,ILAM,CHRISTCHURCH,8041,House,3,1,,1,1,813,114,1960,770,4/09/2025,329,Harcourts Gold Property Management,710000,610000,100000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.5177932,172.5664963
81 KNOWLES STREET,ST ALBANS,CHRISTCHURCH,8052,House,3,2,,2,2,658,133,1910,770,16/03/2025,134,Holmwood Property Management,1350000,1040000,310000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,,NO,-43.5061376,172.6224551
74A GLANDOVEY ROAD,FENDALTON,CHRISTCHURCH,8052,House,3,2,,2,2,905,160,1950,770,21/05/2025,85,"Irelands, (Licensed: Reaa 2008)",1430000,1410000,20000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1950's-poor,nill,,,NO,-43.5155375,172.6004058
2/16 ONSLOW STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,3,1,2,,2,164.5,160,1990,770,5/06/2025,3,"Irelands, (Licensed: Reaa 2008)",690000,355000,335000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-OYO-1990's-average,Fully Furnished,,,YES,-43.5187466,172.628417
5/133 Blighs Road,Strowan,Christchurch City,8052,Townhouse,3,2,1,1,2,703,163,1940,770,18/09/2025,6,"Whittle Knight Real Estate Ltd, (Licensed: REAA 2008)",910000,680000,230000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1960's-average,,,Pets OK,Yes,-43.5020491,172.606417
1/35 SOLWAY AVENUE,ILAM,CHRISTCHURCH,8041,Unit,3,2,3,,3,601,290,1980,770,18/02/2025,197,Birds Nest Property Management,,,310000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1980's-average,,,,YES,-43.5195733,172.5680804
14 NORWOOD STREET,BECKENHAM,CHRISTCHURCH,8023,House,3,2,2,,2,559,,2000,770,22/01/2025,23,"Agnes White & Associates Mreinz, (Licensed: Reaa 2008)",980000,425000,555000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-2000/2009-average,nill,,,YES,-43.5624994,172.6444008
118 METEHAU STREET,MARSHLAND,CHRISTCHURCH,8083,House,3,2,2,,2,466,,2015,770,1/05/2025,37,Vision Property Management,870000,455000,415000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.4641495,172.6642492
4/8 LYNDON STREET,RICCARTON,CHRISTCHURCH,8011,Townhouse,3,2,2,,2,202,,1905,770,2/05/2025,7,"Glass Miles Ltd, (Licensed: Reaa 2008)",810000,315000,495000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2010/2019-average,nill,,,YES,-43.5354766,172.6043753
7 ALBERT WILLS AVENUE,HALSWELL,CHRISTCHURCH,8025,House,3,2,2,,2,430,,2020,770,8/07/2025,2,Orbit Property Management,900000,425000,475000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5683185,172.5410388
16 McLellan Place,Ilam,Christchurch City,8041,house,4,1,,3,1,607,114,1960,770,3/09/2025,21,Harcourts Gold Property Management,710000,610000,350000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,,,,No,-43.5177932,172.5664963
99 CHEYENNE STREET,SOCKBURN,CHRISTCHURCH,8042,House,4,1,,2,2,900,145,1970,770,25/07/2025,2,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",670000,480000,190000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,nill,,No,NO,-43.5277679,172.5548317
16 AKAU PLACE,BROMLEY,CHRISTCHURCH,8062,House,4,2,2,,2,499,157,2024,770,3/03/2025,25,-,750000,325000,425000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5436057,172.6955118
40 COLOMBO STREET,CASHMERE,CHRISTCHURCH,8022,House,4,3,,2,2,789,164,1945,770,5/06/2025,169,The Property Boss,960000,550000,410000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,nill,,,NO,-43.5639149,172.6374096
7 Albert Wills Avenue,Halswell,Christchurch City,8025,house,4,2,2,,2,430,169,2020,770,8/07/2025,78,Orbit Property Management,900000,425000,475000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2020/2029-average,partial,fridge,,No,-43.5683185,172.5410388
27 Larissa Rd,Halswell,Christchurch City,8025,House,4,2,2,,2,435,194,2023,770,3/09/2025,21,My Property Manager,910000,400000,510000,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,,,Pets OK,Yes,-43.5734381,172.5830499
27 LARISSA ROAD,HALSWELL,CHRISTCHURCH,8025,House,4,2,2,,2,435,194,2023,770,4/09/2025,6,My Property Manager,910000,400000,510000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5734381,172.5830499
10 MCMAHON DRIVE,AIDANFIELD,CHRISTCHURCH,8025,House,4,2,2,,2,744,,2000,770,3/04/2025,7,Iron Bridge Property Management - Christchurch,990000,470000,520000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Plastic,Residential-Dwelling-2000/2009-average,nill,,,YES,-43.5676675,172.5637262
22 LEADER STREET,MARSHLAND,CHRISTCHURCH,8083,House,4,2,2,,2,640,,2019,770,19/08/2025,294,Rentworks Property Management 2018 Ltd,1100000,465000,635000,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2010/2019-average,nill,,,YES,-43.4780501,172.6730657
17 ROOSEVELT AVENUE,ST ALBANS,CHRISTCHURCH,8014,House,3,2,,1,1,708,132,1920,775,12/04/2025,7,Bayleys Property Management Ltd,1170000,620000,550000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-superior,,,,NO,-43.5056324,172.6333395
2/27 Sherborne Street,St. Albans,Christchurch City,8014,Townhouse,3,3,2,,1,249,177,2016,775,6/09/2025,18,myRent.co.nz Ltd,850000,280000,570000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,nill,unfurnished,,Yes,-43.5193289,172.6374304
