Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Living Space (m²),3-Month Period,Actual Price per m²,Expected Price per m²
19 DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,1,817.0,130,1950,590.0,2024-02-18,7,False,"$580,000",130,2024Q1,4.538461538461538,4.422061909716046
16 SARABANDE AVENUE ,"Redwood, Christchurch",8051,3,1,2,610.0,105,1970,590.0,2023-10-26,2,False,"$610,000",105,2023Q4,5.619047619047619,5.461262814584867
1/32 GREENOCK STREET ,"Redwood, Christchurch",8051,3,1,1,642.0,110,1985,585.0,2024-09-03,24,True,"$520,000",110,2024Q3,5.318181818181818,5.181171402912749
438 GREERS ROAD ,"Bishopdale, Christchurch",8053,3,1,1,642.0,120,1950,580.0,2024-09-07,13,True,"$590,000",120,2024Q3,4.833333333333333,4.788132836481304
11 IAN PLACE ,"Bishopdale, Christchurch",8053,3,1,1,535.0,108,1970,580.0,2023-12-12,7,False,"$730,000",108,2023Q4,5.37037037037037,5.301202822989309
15 OLDWOOD STREET ,"Bishopdale, Christchurch",8053,3,1,2,637.0,102,1960,580.0,2023-05-17,15,False,"$690,000",102,2023Q2,5.686274509803922,5.596103106734388
225 SAWYERS ARMS ROAD ,"Bishopdale, Christchurch",8053,3,1,2,572.0,104,1970,580.0,2023-10-24,7,False,"$600,000",104,2023Q4,5.576923076923077,5.510671018057242
319 SAWYERS ARMS ROAD ,"Bishopdale, Christchurch",8053,3,1,2,607.0,120,1970,580.0,2024-01-16,7,False,"$630,000",120,2024Q1,4.833333333333333,4.747916870441464
1/47 JOCELYN STREET ,"Casebrook, Christchurch",8051,3,1,2,809.0,110,1950,580.0,2024-09-13,95,True,-,110,2024Q3,5.2727272727272725,5.230463714055554
12 HOANI STREET ,"Papanui, Christchurch",8053,3,1,1,511.0,102,1940,580.0,2023-09-18,19,False,"$550,000",102,2023Q3,5.686274509803922,5.630514079542788
14 HOANI STREET ,"Papanui, Christchurch",8053,3,1,1,516.0,90,1920,580.0,2024-06-14,7,False,"$540,000",90,2024Q2,6.444444444444445,6.31578435119499
39 CAMDEN STREET ,"Redwood, Christchurch",8051,3,1,2,646.0,102,1975,580.0,2023-11-10,7,False,"$610,000",102,2023Q4,5.686274509803922,5.5793225271780615
