iter	Passed	Remaining
913	50825	58332
914	50879	58274
915	50927	58210
916	50980	58151
917	51029	58089
918	51091	58041
919	51163	58003
920	51218	57947
921	51267	57884
922	51313	57818
923	51357	57748
924	51410	57690
925	51483	57654
926	51541	57601
927	51597	57546
928	51646	57483
929	51722	57451
930	51794	57413
931	51855	57363
932	51923	57321
933	51986	57273
934	52062	57240
935	52150	57220
936	52208	57167
937	52277	57126
938	52326	57063
939	52397	57024
940	52442	56956
941	52499	56902
942	52544	56834
943	52588	56767
944	52634	56700
945	52679	56633
946	52739	56582
947	52801	56533
948	52855	56475
949	52908	56417
950	52957	56354
951	53016	56301
952	53071	56246
953	53148	56213
954	53199	56151
955	53249	56090
956	53299	56028
957	53355	55972
958	53414	55921
959	53470	55865
960	53522	55806
961	53583	55755
962	53627	55688
963	53671	55620
964	53715	55552
965	53772	55498
966	53816	55430
967	53860	55363
968	53924	55316
969	53969	55249
970	54013	55181
971	54057	55114
972	54101	55047
973	54146	54979
974	54206	54929
975	54264	54875
976	54320	54820
977	54363	54753
978	54406	54684
979	54450	54617
980	54495	54551
981	54540	54484
982	54594	54428
983	54653	54375
984	54708	54319
985	54763	54263
986	54828	54217
987	54886	54164
988	54952	54119
989	54997	54053
990	55045	53990
991	55103	53936
992	55148	53871
993	55220	53831
994	55274	53774
995	55332	53721
996	55394	53672
997	55482	53647
998	55539	53593
999	55601	53543
1000	55656	53488
1001	55711	53432
1002	55774	53383
1003	55819	53317
1004	55876	53263
1005	55930	53206
1006	55991	53156
1007	56042	53096
1008	56103	53045
1009	56152	52983
1010	56240	52958
1011	56298	52904
1012	56371	52865
1013	56420	52803
1014	56465	52737
1015	56522	52683
1016	56567	52618
1017	56626	52566
1018	56706	52532
1019	56758	52473
1020	56807	52411
1021	56885	52376
1022	56939	52320
1023	56986	52256
1024	57038	52196
1025	57091	52139
1026	57136	52073
1027	57185	52011
1028	57241	51957
1029	57292	51896
1030	57364	51855
1031	57424	51804
1032	57472	51742
1033	57531	51689
1034	57590	51636
1035	57637	51573
1036	57683	51508
1037	57728	51443
1038	57785	51389
1039	57838	51331
1040	57883	51266
1041	57928	51202
1042	57986	51148
1043	58052	51101
1044	58123	51059
1045	58177	51002
1046	58234	50948
1047	58287	50890
1048	58345	50836
1049	58439	50814
1050	58493	50757
1051	58563	50714
1052	58622	50661
1053	58669	50598
1054	58735	50551
