index,target_value,target_zscore,Bed_value,Bath_value,Car_value,Land Size (sqm)_value,Floor Size (sqm)_value,Year Built_value,Days on Market_value,Capital Value_value,Last Rental Price_value,Bed_zscore,Bath_zscore,Car_zscore,Land Size (sqm)_zscore,Floor Size (sqm)_zscore,Year Built_zscore,Days on Market_zscore,Capital Value_zscore,Last Rental Price_zscore
503,450.0,-1.1241666666666668,2,1,1.0,508.0,94.0,1970.0,7.0,385000,450.0,-0.6745,0.0,0.0,0.0,-0.5845666666666667,-0.22483333333333333,0.0,-1.6249318181818182,-1.1241666666666668
506,390.0,-1.6637666666666666,2,1,1.0,508.0,71.0,1970.0,7.0,360000,390.0,-0.6745,0.0,0.0,0.0,-1.1016833333333333,-0.22483333333333333,0.0,-1.7782272727272728,-1.6637666666666666
509,450.0,-1.1241666666666668,2,1,1.0,607.0,94.0,1960.0,7.0,560000,450.0,-0.6745,0.0,0.0,0.6240700934579438,-0.5845666666666667,-0.44966666666666666,0.0,-0.5518636363636363,-1.1241666666666668
510,420.0,-1.3939666666666666,2,1,1.0,508.0,79.0,2007.0,7.0,450000,420.0,-0.6745,0.0,0.0,0.0,-0.9218166666666666,0.60705,0.0,-1.2263636363636363,-1.3939666666666666
518,700.0,1.1241666666666668,2,1,1.0,508.0,100.0,1955.0,7.0,650000,700.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,-0.5620833333333334,0.0,0.0,1.1241666666666668
520,450.0,-1.1241666666666668,2,1,1.0,508.0,96.0,1970.0,7.0,470000,450.0,-0.6745,0.0,0.0,0.0,-0.5396,-0.22483333333333333,0.0,-1.1037272727272727,-1.1241666666666668
539,420.0,-1.3939666666666666,2,1,1.0,508.0,90.0,1970.0,7.0,425000,420.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.22483333333333333,0.0,-1.379659090909091,-1.3939666666666666
541,450.0,-1.1241666666666668,2,1,1.0,508.0,115.0,1970.0,7.0,485000,450.0,-0.6745,0.0,0.0,0.0,-0.11241666666666666,-0.22483333333333333,0.0,-1.01175,-1.1241666666666668
545,395.0,-1.6188,2,1,1.0,508.0,60.0,1970.0,7.0,385000,395.0,-0.6745,0.0,0.0,0.0,-1.349,-0.22483333333333333,0.0,-1.6249318181818182,-1.6188
546,440.0,-1.2141,2,1,1.0,508.0,60.0,1970.0,7.0,360000,440.0,-0.6745,0.0,0.0,0.0,-1.349,-0.22483333333333333,0.0,-1.7782272727272728,-1.2141
