street_address,Suburb,city,Postcode,property_type2,Bed,Bath,garage_parks,offstreet_parks,Car,land_size,floor_size,Year Built,Last Rental Price,Last Rental Date,Days on Market,agency,Capital Value,Land Value,Improvement Value,Valuation Date,land_use,development_zone,position,view,roof_construction,wall_construction,category,Furnishings,furnishings_evidence,pets,garage,Latitude,Longitude,__row_id,__geo_query__
1/98 HUXLEY STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2.0,1.0,1.0,,1.0,239.0,58.0,1975.0,420.0,2025-06-20,8.0,Max Property Management Ltd,360000.0,205000.0,155000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,No,YES,-43.5519994,172.6420794,177,"1/98 HUXLEY STREET, SYDENHAM, CHRISTCHURCH, 8023, New Zealand"
2/12 MACMILLAN AVENUE,CASHMERE,CHRISTCHURCH,8022,Unit,3.0,1.0,2.0,,2.0,,150.0,1990.0,850.0,2025-06-21,12.0,Keyhook,950000.0,570000.0,380000.0,1/08/2022,Single Unit excluding Bach,Residential Hills,Rear,Focal Point Of view - Other,Mix.Material,"Roughcast,etc",Residential-OYO-1990's-superior,Fully Furnished,,,YES,-43.5736043,172.6290935,4807,"2/12 MACMILLAN AVENUE, CASHMERE, CHRISTCHURCH, 8022, New Zealand"
6/111 EDGEWARE ROAD,ST ALBANS,CHRISTCHURCH,8014,Townhouse,2.0,1.0,,,0.0,143.0,75.0,2022.0,510.0,2025-06-21,7.0,-,590000.0,255000.0,335000.0,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dryer;fridge;washing machine,,NO,-43.5129449,172.6398849,1027,"6/111 EDGEWARE ROAD, ST ALBANS, CHRISTCHURCH, 8014, New Zealand"
51 LARISSA ROAD,HALSWELL,CHRISTCHURCH,8025,House,3.0,2.0,1.0,,1.0,495.0,130.0,2023.0,660.0,2025-06-21,21.0,-,740000.0,400000.0,340000.0,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Tile Profile,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5721593,172.5824844,4078,"51 LARISSA ROAD, HALSWELL, CHRISTCHURCH, 8025, New Zealand"
21A SUGDEN STREET,SPREYDON,CHRISTCHURCH,8024,House,3.0,2.0,2.0,,2.0,406.0,148.0,2010.0,800.0,2025-06-21,335.0,Keyhook,750000.0,350000.0,400000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2010/2019-average,Fully Furnished,,,YES,-43.5547674,172.6189709,4762,"21A SUGDEN STREET, SPREYDON, CHRISTCHURCH, 8024, New Zealand"
4/46 CLARE ROAD,ST ALBANS,CHRISTCHURCH,8014,Unit,2.0,1.0,,1.0,1.0,101.0,76.0,1970.0,480.0,2025-06-22,7.0,-,630000.0,504893.617,125106.383,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Brick,Residential-OYO-1960's-average,nill,,,NO,-43.5183966,172.6294735,1073,"4/46 CLARE ROAD, ST ALBANS, CHRISTCHURCH, 8014, New Zealand"
155A STRICKLAND STREET,SPREYDON,CHRISTCHURCH,8024,Townhouse,3.0,2.0,1.0,,1.0,160.0,116.0,2024.0,625.0,2025-06-22,13.0,Freedom Property Management Limited,710000.0,190000.0,520000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5496862,172.6278505,3397,"155A STRICKLAND STREET, SPREYDON, CHRISTCHURCH, 8024, New Zealand"
200 HALSWELL ROAD,HILLMORTON,CHRISTCHURCH,8025,,0.0,2.0,1.0,,1.0,620.0,220.0,1970.0,520.0,2025-06-22,7.0,Utiger Properties,630000.0,330000.0,195000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.561849,172.5804652,5589,"200 HALSWELL ROAD, HILLMORTON, CHRISTCHURCH, 8025, New Zealand"
26 HAWKHURST ROAD,LYTTELTON,LYTTELTON,8082,House,3.0,1.0,1.0,,1.0,512.0,140.0,1910.0,475.0,2025-06-22,7.0,Access Property Management & Body Corporate Ltd,305000.0,270000.0,35000.0,1/08/2022,Single Unit excluding Bach,Residential Banks Peninsula,Inside,Focal Point Of view - Water,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1914/1929-poor,,,,YES,-43.6000083,172.7158409,4587,"26 HAWKHURST ROAD, LYTTELTON, 8082, New Zealand"
3/3 SHEARER AVENUE,PAPANUI,CHRISTCHURCH,8052,Townhouse,1.0,1.0,1.0,,1.0,67.0,58.0,2022.0,450.0,2025-06-22,7.0,-,540000.0,330000.0,210000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dryer;microwave;washer;washer/dryer,,YES,-43.4967917,172.607626,167,"3/3 SHEARER AVENUE, PAPANUI, CHRISTCHURCH, 8052, New Zealand"
