Last Rental Date,Bed,Last Rental Price,Dollar_Volume,Volume,VWAP_3M,VWAP_2Y,Volume_eq,VWAP_3M_eq,VWAP_2Y_eq,Rolling_Median_3M_bed,Rolling_Median_2Y_bed,Volume_all,VWAP_3M_all,VWAP_2Y_all,Volume_all_eq,VWAP_3M_all_eq,VWAP_2Y_all_eq,Percentage_Diff,Percentage_Diff_eq,Percentage_Diff_all,Percentage_Diff_all_eq,RollMed_VWAP_3M_all_eq_30D,RollMed_VWAP_2Y_all_eq_730D
2023-11-09,0.0,27330.0,27330.0,27330.0,188888.36218356865,102482.61508566716,1.0,79401.11111111111,63823.76,35000.0,49500.0,27330.0,188888.36218356865,102482.61508566716,1.0,79401.11111111111,63823.76,84.31259001897374,24.406821395529043,84.31259001897374,24.406821395529043,63408.57142857143,76360.09090909091
2023-11-15,0.0,32500.0,32500.0,32500.0,182937.22052996198,101844.45771936027,1.0,74194.0,63108.19607843137,32970.0,49500.0,32500.0,182937.22052996198,101844.45771936027,1.0,74194.0,63108.19607843137,79.62412940923957,17.56634575292107,79.62412940923957,17.56634575292107,68801.28571428571,76045.9719251337
2023-12-07,0.0,85145.0,85145.0,85145.0,176624.0010846547,101151.23028233003,1.0,70403.63636363637,62519.57692307692,32500.0,47750.0,85145.0,176624.0010846547,101151.23028233003,1.0,70403.63636363637,62519.57692307692,74.61379420859987,12.610545094154851,74.61379420859987,12.610545094154851,74194.0,75731.85294117648
2024-01-09,0.0,18200.0,18200.0,18200.0,188493.6302591438,100742.72192186053,1.0,93215.625,62946.47169811321,35000.0,49500.0,18200.0,188493.6302591438,100742.72192186053,1.0,93215.625,62946.47169811321,87.10396807160507,48.08713258315016,87.10396807160507,48.08713258315016,93215.625,74362.17976190476
2024-01-19,0.0,55000.0,55000.0,55000.0,163267.04482341418,101428.44099878226,1.0,72320.83333333333,61762.903846153844,29915.0,45500.0,55000.0,163267.04482341418,101428.44099878226,1.0,72320.83333333333,61762.903846153844,60.96771597364328,17.094289338270737,60.96771597364328,17.094289338270737,82768.22916666666,74207.9444015444
2024-02-06,0.0,22500.0,22500.0,22500.0,151087.90187656594,99908.69160805181,1.0,69846.42857142857,60512.903846153844,32500.0,45500.0,22500.0,151087.90187656594,99908.69160805181,1.0,69846.42857142857,60512.903846153844,51.22598389066433,15.424023856141474,51.22598389066433,15.424023856141474,72320.83333333333,74104.94594594595
2024-02-13,0.0,28600.0,28600.0,28600.0,53662.98919704997,99359.11711012122,1.0,40112.5,59795.67924528302,29915.0,45000.0,28600.0,53662.98919704997,99359.11711012122,1.0,40112.5,59795.67924528302,-45.99087556547583,-32.917393854733625,-45.99087556547583,-32.917393854733625,69846.42857142857,73496.92105263157
2024-02-21,0.0,2400.0,2400.0,2400.0,56960.63895055981,99155.64713650585,1.0,41889.0,60021.339622641506,28600.0,45000.0,2400.0,56960.63895055981,99155.64713650585,1.0,41889.0,60021.339622641506,-42.55431677820317,-30.209821601185233,-42.55431677820317,-30.209821601185233,41889.0,73026.38360323886
2024-03-05,0.0,85000.0,85000.0,85000.0,56342.51941277821,99082.70499988849,1.0,35307.5,58954.27777777778,25550.0,43500.0,85000.0,56342.51941277821,99082.70499988849,1.0,35307.5,58954.27777777778,-43.13586875444951,-40.11036801589179,-43.13586875444951,-40.11036801589179,41000.75,72023.89807692307
2024-03-07,0.0,26400.0,26400.0,26400.0,64548.43782108508,98122.6640648213,1.0,42406.42857142857,58398.72222222222,28600.0,43500.0,26400.0,64548.43782108508,98122.6640648213,1.0,42406.42857142857,58398.72222222222,-34.21658651823456,-27.3846636403085,-34.21658651823456,-27.3846636403085,41000.75,71491.95
2024-03-18,0.0,16000.0,16000.0,16000.0,52953.2549349013,97527.21770723956,1.0,34014.28571428572,57816.92727272727,26400.0,42000.0,16000.0,52953.2549349013,97527.21770723956,1.0,34014.28571428572,57816.92727272727,-45.704126314914326,-41.16898403500848,-45.704126314914326,-41.16898403500848,38598.25,71283.9192546584
2024-03-22,0.0,20000.0,20000.0,20000.0,50626.406926406926,98278.11822115496,1.0,31762.5,57035.75925925926,24450.0,40750.0,20000.0,50626.406926406926,98278.11822115496,1.0,31762.5,57035.75925925926,-48.4865931066339,-44.311252427408284,-48.4865931066339,-44.311252427408284,34660.892857142855,71216.69565217392
2024-04-18,0.0,59900.0,59900.0,59900.0,48391.7183509668,97773.08686257855,1.0,30455.555555555555,56362.38181818182,22500.0,39500.0,59900.0,48391.7183509668,97773.08686257855,1.0,30455.555555555555,56362.38181818182,-50.50609538493753,-45.96474710064336,-50.50609538493753,-45.96474710064336,31109.027777777777,70976.0
2024-04-19,0.0,28000.0,28000.0,28000.0,51748.23619631902,95361.63604875776,1.0,32600.0,54996.92727272727,24450.0,39500.0,28000.0,51748.23619631902,95361.63604875776,1.0,32600.0,54996.92727272727,-45.734743718259516,-40.723961107248634,-45.734743718259516,-40.723961107248634,31762.5,70752.36585365853
2024-05-09,0.0,22000.0,22000.0,22000.0,49445.775623268695,94743.80761037869,1.0,32088.88888888889,54514.83928571428,26400.0,38147.5,22000.0,49445.775623268695,94743.80761037869,1.0,32088.88888888889,54514.83928571428,-47.811074021208995,-41.137331946059966,-47.811074021208995,-41.137331946059966,32088.88888888889,70330.67696476965
2024-06-10,0.0,25000.0,25000.0,25000.0,49454.353104405134,94854.43964495017,1.0,32033.333333333332,53746.982142857145,26400.0,35897.5,25000.0,49454.353104405134,94854.43964495017,1.0,32033.333333333332,53746.982142857145,-47.86290099913318,-40.3997544491147,-47.86290099913318,-40.3997544491147,32033.333333333332,70111.40202020202
