Index,Bed,zRent,zCapVal,isRemoved,Land Size (sqm)_val,Land Size (sqm)_z,Floor Size (sqm)_val,Floor Size (sqm)_z,Year Built_val,Year Built_z,Capital Value_val,Capital Value_z,Last Rental Price_val,Last Rental Price_z
33,0.0,1.4344109714285713,0.5230816326530612,False,885.0,-1.0091275272161742,473.0,0.16290889830508476,2016.0,0.9810909090909091,1380000,0.5230816326530612,75716.0,1.4344109714285713
34,0.0,1.4068142857142858,3.1935510204081634,False,2630.0,0.8213584758942457,1260.0,2.4121949152542372,2024.0,1.4716363636363636,3320000,3.1935510204081634,75000.0,1.4068142857142858
35,0.0,1.4068142857142858,0.2890714285714286,False,765.0,-1.1350062208398133,550.0,0.382978813559322,1977.0,-1.4103181818181818,1210000,0.2890714285714286,75000.0,1.4068142857142858
36,0.0,1.4068142857142858,0.7157959183673469,False,1847.0,0.0,464.0,0.1371864406779661,2000.0,0.0,1520000,0.7157959183673469,75000.0,1.4068142857142858
37,0.0,1.4068142857142858,3.0283673469387753,False,2645.0,0.8370933125972005,1710.0,3.6983177966101697,1975.0,-1.5329545454545455,3200000,3.0283673469387753,75000.0,1.4068142857142858
38,0.0,1.3682714285714286,1.927142857142857,False,1980.0,0.13951555209953345,961.0,1.557637711864407,2023.0,1.4103181818181818,2400000,1.927142857142857,74000.0,1.3682714285714286
39,0.0,1.2911857142857144,0.2890714285714286,False,1531.0,-0.3314805598755832,410.0,-0.01714830508474576,2000.0,0.0,1210000,0.2890714285714286,72000.0,1.2911857142857144
40,0.0,1.2139072857142856,3.427561224489796,False,3368.0,1.595512441679627,1650.0,3.5268347457627116,1994.0,-0.3679090909090909,3490000,3.427561224489796,69995.0,1.2139072857142856
41,0.0,1.1177428571428571,1.913377551020408,False,3827.0,2.0769984447900467,1080.0,1.8977457627118643,2000.0,0.0,2390000,1.913377551020408,67500.0,1.1177428571428571
42,0.0,1.0213857142857143,-0.01376530612244898,False,620.0,-1.2871096423017108,460.0,0.1257542372881356,1976.0,-1.4716363636363636,990000,-0.01376530612244898,65000.0,1.0213857142857143
43,0.0,1.0213857142857143,6.359571428571429,False,4873.0,3.174241057542768,2316.0,5.430296610169491,2017.0,1.0424090909090908,5620000,6.359571428571429,65000.0,1.0213857142857143
44,0.0,1.0213857142857143,-0.0688265306122449,False,1847.0,0.0,435.0,0.05430296610169492,2000.0,0.0,950000,-0.0688265306122449,65000.0,1.0213857142857143
45,0.0,1.0213857142857143,0.23401020408163264,False,875.0,-1.0196174183514775,700.0,0.811686440677966,1973.0,-1.6555909090909091,1170000,0.23401020408163264,65000.0,1.0213857142857143
46,0.0,0.9443,2.4226938775510205,False,4113.0,2.37700933125972,2200.0,5.098762711864406,1973.0,-1.6555909090909091,2760000,2.4226938775510205,63000.0,0.9443
47,0.0,0.8286714285714286,-0.02753061224489796,False,708.0,-1.194798600311042,644.0,0.651635593220339,1965.0,-2.1461363636363635,980000,-0.02753061224489796,60000.0,0.8286714285714286
48,0.0,0.8286714285714286,-0.08259183673469388,False,506.0,-1.406694401244168,430.0,0.040012711864406775,1968.0,-1.9621818181818182,940000,-0.08259183673469388,60000.0,0.8286714285714286
49,0.0,0.8286714285714286,0.01376530612244898,False,787.0,-1.1119284603421462,416.0,0.0,2000.0,0.0,1010000,0.01376530612244898,60000.0,0.8286714285714286
50,0.0,0.8248171428571428,0.01376530612244898,False,766.0,-1.1339572317262832,375.0,-0.1171800847457627,2000.0,0.0,1010000,0.01376530612244898,59900.0,0.8248171428571428
51,0.0,0.6964694285714286,-0.5230816326530612,False,1847.0,0.0,236.0,-0.5144491525423729,2015.0,0.9197727272727273,620000,-0.5230816326530612,56570.0,0.6964694285714286
52,0.0,0.6626287999999999,-0.02753061224489796,False,1847.0,0.0,400.0,-0.04572881355932203,2000.0,0.0,980000,-0.02753061224489796,55692.0,0.6626287999999999
53,0.0,0.6444365714285714,-0.5919081632653062,False,718.0,-1.1843087091757387,500.0,0.24007627118644068,1973.0,-1.6555909090909091,570000,-0.5919081632653062,55220.0,0.6444365714285714
54,0.0,0.6359571428571429,-0.24777551020408164,False,1847.0,0.0,370.0,-0.13147033898305086,2000.0,0.0,820000,-0.24777551020408164,55000.0,0.6359571428571429
55,0.0,0.6359571428571429,-0.22024489795918367,False,1847.0,0.0,324.0,-0.2629406779661017,2010.0,0.6131818181818182,840000,-0.22024489795918367,55000.0,0.6359571428571429
56,0.0,0.48178571428571426,7.130428571428571,False,3602.0,1.840975894245723,2264.0,5.281677966101695,1980.0,-1.2263636363636363,6180000,7.130428571428571,51000.0,0.48178571428571426
57,0.0,0.44324285714285716,-0.30283673469387756,False,1847.0,0.0,343.0,-0.2086377118644068,2000.0,0.0,780000,-0.30283673469387756,50000.0,0.44324285714285716
58,0.0,0.44324285714285716,-0.09635714285714286,False,607.0,-1.300746500777605,342.0,-0.2114957627118644,2000.0,0.0,930000,-0.09635714285714286,50000.0,0.44324285714285716
59,0.0,0.42397142857142855,-0.38542857142857145,False,2001.0,0.16154432348367032,607.0,0.5458877118644068,1990.0,-0.6131818181818182,720000,-0.38542857142857145,49500.0,0.42397142857142855
60,0.0,0.42397142857142855,0.5643775510204082,False,810.0,-1.0878017107309488,388.0,-0.08002542372881355,2017.0,1.0424090909090908,1410000,0.5643775510204082,49500.0,0.42397142857142855
61,0.0,0.383116,-0.1376530612244898,False,1847.0,0.0,409.0,-0.020006355932203387,2000.0,0.0,900000,-0.1376530612244898,48440.0,0.383116
62,0.0,0.2890714285714286,2.9870714285714284,False,2400.0,0.5800909797822705,1352.0,2.675135593220339,2010.0,0.6131818181818182,3170000,2.9870714285714284,46000.0,0.2890714285714286
63,0.0,0.25052857142857143,-0.4680204081632653,False,1847.0,0.0,261.0,-0.4429978813559322,2020.0,1.2263636363636363,660000,-0.4680204081632653,45000.0,0.25052857142857143
